Magdalena Fidecka,108,[]
martirenti,21383,['polish viral pop']
Margarita,5222,[]
CrackHouse,7103,['polish viral pop']
Zusje,13173,[]
Miuosh,78663,['polish hip hop']
Zespół Pieśni i Tańca Śląsk,3926,[]
Wiktor Waligóra,5104,['polish pop']
Bletka,88263,"['polish pop', 'polish viral pop']"
ANGELENA,428,[]
sanah,2881017,['polish pop']
PlanBe,247122,"['polish hip hop', 'polish trap']"
Joanna Jakubas,1350,[]
Wiktor Dyduła,23064,['polish pop']
Wrotas,47,[]
Piotr Prońko,0,[]
Caroline,72,[]
Żabson,1062425,"['polish hip hop', 'polish trap']"
White 2115,1360716,"['polish hip hop', 'polish trap']"
Mata,2071000,"['polish hip hop', 'polish trap']"
Wyguś,5377,[]
Szczepan,3917,[]
Adam,642,[]
SB Maffija,862579,['polish hip hop']
Jan-Rapowanie,504888,['polish hip hop']
Janusz Walczuk,122952,"['polish hip hop', 'polish trap']"
Kacperczyk,138486,['polish hip hop']
Beteo,202950,"['polish hip hop', 'polish trap']"
Adi Nowak,119830,"['polish alternative rap', 'polish hip hop']"
Sobel,1250738,"['polish hip hop', 'polish trap']"
Young Igi,735657,"['polish hip hop', 'polish trap']"
Kuki,150872,['polish viral pop']
Białas,651905,"['polish hip hop', 'polish trap']"
Lanek,164215,"['polish electronica', 'polish hip hop', 'polish trap']"
Oki,988341,['polish hip hop']
Otsochodzi,562286,"['polish hip hop', 'polish trap']"
OIO,29540,['polish hip hop']
PSR,15851,['polish hip hop']
Popkiller Młode Wilki,30343,"['polish hip hop', 'polish trap']"
Bodhi,980,[]
Gedz,187180,"['polish hip hop', 'polish trap']"
Magiera,37622,['polish hip hop']
Kizo,1398440,"['polish hip hop', 'polish trap']"
2115,426165,['polish hip hop']
Bedoes 2115,1594860,"['polish hip hop', 'polish trap']"
@atutowy,30977,['polish hip hop']
Abel de Jong,5390,['polish hip hop']
WŁODAR,30564,['polish viral pop']
Pedro,24278,['polish hip hop']
Waima,86592,['polish hip hop']
francis,26237,['polish hip hop']
club2020,89249,['polish hip hop']
Taco Hemingway,1657059,"['polish hip hop', 'polish trap']"
CatchUp,51083,"['polish alternative rap', 'polish hip hop']"
Alberto,199110,['polish hip hop']
Josef Bratan,91948,"['polish drill', 'polish hip hop']"
Sir Mich,35731,['polish hip hop']
Malik Montana,1244920,"['polish drill', 'polish hip hop', 'polish trap']"
Eurosoundz,530,[]
Quebonafide,1331902,['polish hip hop']
zxbrv,598,[]
schafter,213329,"['polish hip hop', 'polish trap']"
Maurycy Żółtański,598,[]
Awski,2511,[]
MrPiesel123,44,[]
łukasz2115,109,[]
DJ Johny,679,[]
ANATHEMIA,3612,['polish viral pop']
OLEK,6963,['polish trap']
DMN,8174,['polish trap']
Zeamsone,355326,"['polish hip hop', 'polish trap']"
Kubi Producent,267970,"['polish hip hop', 'polish trap']"
Swizzy,3305,['polish underground rap']
Worek,6862,['polish hip hop']
Nolyrics Beats,3687,[]
LDO,342,[]
Kinny Zimmer,309995,['polish hip hop']
Bandura,9821,['polish hip hop']
Solar,150324,['polish hip hop']
Tomb,6644,[]
Dżinold,1327,[]
WoLa,12588,"['polish drill', 'polish underground rap']"
slowez,5122,[]
Mario,8254,['polish underground rap']
wxrrior,2477,[]
SHDØW,7292,"['drift phonk', 'polish hip hop']"
Kosa,11915,['polish alternative rap']
Blacha 2115,498463,"['polish hip hop', 'polish trap']"
Flexxy 2115,7852,['polish hip hop']
kuqe 2115,79377,['polish hip hop']
SKUTE BOBO,239279,['polish hip hop']
double three,433,[]
bvdy47,4565,[]
DR. VODKA,57026,['polish viral pop']
Kukon,662912,"['polish hip hop', 'polish trap']"
bambi,442271,"['polish hip hop', 'polish viral pop']"
Fukaj,187280,['polish hip hop']
charlie moncler,11451,['polish hip hop']
Kronkel Dom,73992,['polish hip hop']
Bibič,41657,"['polish drill', 'polish hip hop']"
Chivas,404466,"['polish hip hop', 'polish trap']"
lohleq,7796,['polish hip hop']
Kusha,973,[]
Suwal,968,[]
Szpaku,890627,['polish hip hop']
Tulia,24809,['polish folk']
stickxr,34401,"['polish viral pop', 'polish viral rap']"
Young Multi,684743,"['polish hip hop', 'polish trap']"
Lucassi,1001,[]
Young Leosia,541288,"['polish hip hop', 'polish pop']"
Aleshen,102690,['polish hip hop']
Yung Adisz,192699,"['polish hip hop', 'polish trap']"
RYGOR,1416,['polish underground rap']
BAHsick,5444,['polish underground rap']
Miszel,112859,"['polish drill', 'polish hip hop']"
Premixm,3696,[]
Deemz,179808,"['polish hip hop', 'polish trap']"
Paluch,1007819,"['polish hip hop', 'polish trap', 'rap motywacja']"
Kaptur,5648,[]
FUJU,841,[]
Def Jam World Tour,4743,['polish underground rap']
Livka,6129,[]
Lonzo,712,[]
Sergiusz,7279,['polish hip hop']
2K,55136,['polish hip hop']
Coals,40974,['polish electronica']
Eryk Moczko,45485,['polish viral pop']
Kuban,222185,['polish hip hop']
Favst,66661,"['polish hip hop', 'polish trap']"
sanah,2881017,['polish pop']
Dawid Podsiadło,2219112,"['polish pop', 'talent show']"
Daria Zawiałow,628325,"['polish indie', 'polish pop']"
Grzegorz Turnau,62837,"['poezja spiewana', 'sung poetry']"
Gibbs,616744,['polish hip hop']
Kiełas,17831,[]
Julia Rocka,57506,"['polish pop', 'polish viral pop', 'polish viral rap']"
LemON,67469,"['polish pop', 'rusyn folk']"
Jamal,58476,"['polish hip hop', 'polish reggae']"
Kwiat Jabłoni,453183,"['polish alternative', 'polish pop']"
Sylwia Grzeszczak,541327,['polish pop']
Mrozu,281741,['polish pop']
Dawid Kwiatkowski,404056,['polish pop']
Ewa Farna,239859,"['czech pop', 'polish pop']"
Doda,177841,['polish pop']
Agnieszka Chylińska,154784,['polish pop']
Zeus,218,[]
Ania Dąbrowska,236014,['polish pop']
Liber,35586,['polish pop']
Vito Bambino,208405,"['polish alternative', 'polish pop']"
Grzegorz Hyży,125696,['polish pop']
Tabb,3713,['polish pop']
Julia Wieniawa,85912,['polish pop']
Sarsa,204811,['polish pop']
Anna Wyszkoni,123332,['polish pop']
Kasia Popowska,16204,"['polish pop', 'vintage broadway']"
Igor Herbut,38929,['polish pop']
Ania Iwanek,912,[]
Riya Sokół,2996,[]
Piotr Cugowski,38795,['polish pop']
Natalia Szroeder,168588,['polish pop']
Donatan,25667,"['polish hip hop', 'polish pop']"
Cleo,266525,['polish pop']
Margaret,272244,['polish pop']
Ewelina Lisowska,69923,['polish pop']
Jula,55715,['polish pop']
Filip Lato,26352,['polish pop']
Ewelina Flinta,20602,['polish pop']
Łukasz Zagrobelny,33850,['polish pop']
WOLSKA,2734,['polish alternative']
Piotrek Lewandowski,2880,[]
Andrzej Sikorowski,7977,"['classic polish pop', 'poezja spiewana', 'sung poetry']"
Brodka,237576,"['crank wave', 'polish indie', 'polish pop']"
Kamil Bednarek,172779,"['polish pop', 'polish reggae']"
Dzem,562746,"['polish blues', 'polish rock']"
Kombii,92117,['polish pop']
Mezo,36484,['polish pop']
Kasia Wilk,19873,['polish pop']
K.A.S.A.,2423,[]
Feel,77058,['polish pop']
Lanberry,162492,['polish pop']
Kasia Cerekwicka,49018,['polish pop']
Red Lips,12095,['polish pop']
Natalia Kukulska,43022,['polish pop']
Dawid Podsiadło,2219112,"['polish pop', 'talent show']"
Natalia Przybysz,97460,"['poezja spiewana', 'polish alternative', 'polish pop']"
The Dumplings,160945,"['polish alternative', 'polish indie']"
Mela Koteluk,88157,"['poezja spiewana', 'polish alternative']"
Piotr Zioła,63624,"['polish alternative', 'polish indie']"
Fisz Emade Tworzywo,119947,"['polish alternative', 'polish jazz']"
Bitamina,150210,"['polish alternative', 'polish indie']"
Julia Pietrucha,73893,['polish alternative']
Brodka,237576,"['crank wave', 'polish indie', 'polish pop']"
Męskie Granie Orkiestra 2018,210951,['polish pop']
Kortez,498782,['polish pop']
Krzysztof Zalewski,255479,"['polish alternative rock', 'polish pop']"
