iLoveMemphis; This Is A Challenge
Offset; Harder Than Ever
De La Ghetto; 1, 2, 3 (feat. Jason Derulo & De La Ghetto)
LunchMoney Lewis; Red Pill Blues (Deluxe)
Post Malone; Culture II
Lil Wayne; Grateful
Young Thug; No Label II
Nick Jonas; Right Now
Future; Beach House 3
Ella Eyre; Brighter Days
Alan Walker; Faded
The Game; Tattoos
Nyck Caution; ALL-AMERIKKKAN BADA$$
Freddy Verano; Me 4 U
Mark McCabe; Nervous (The Ooh Song) [Mark McCabe Remix]
O.T. Genasis; This Is A Challenge
French Montana; Brighter Days
Duke; JEFFERY
21 Savage; Grateful
Kanye West; ye
Young Thug; Heartbreak on a Full Moon
Lil Baby; Harder Than Ever
Mavis Staples; Nina Cried Power - EP
Beyoncé; Grateful
Jeremih; The Pinkprint (Deluxe)
BØRNS; Dopamine
Karen Cowley; Hozier: Deluxe Edition
Erik Hassle; Me 4 U
Michael Jackson; Scorpion
Kehlani; Stoney (Deluxe)
Russell Got Barzz; This Is A Challenge
A Boogie Wit da Hoodie; Heartbreak on a Full Moon
21 Savage; Culture II
Sevyn Streeter; Plata O Plomo
Chance the Rapper; Invasion of Privacy
T-Pain; No Hard Feelings
Migos; Witness (Deluxe)
Lauv; There's No Way (feat. Julia Michaels)
Bryson Tiller; Let Me Explain
Nas; Grateful
Future; King's Dead (with Kendrick Lamar, Future & James Blake)
Chris Brown; Heartbreak on a Full Moon
Remy Ma; Plata O Plomo
MØ; Don't Leave
Travis Scott; Culture II
Majid Jordan; Nothing Was The Same (Deluxe)
CeeLo Green; Doo-Wops & Hooligans
Wiz Khalifa; Beach House 3
Jason Derulo; 1, 2, 3 (feat. Jason Derulo & De La Ghetto)
Ella Henderson; Chapter One (Deluxe Version)
Fuse ODG; Major Lazer Essentials
RAYE; Major Lazer Essentials
Chris Brown; The Pinkprint (Deluxe)
A Great Big World; Is There Anybody Out There? - Track by Track Commentary
Kendrick Lamar; Sail Out
SZA; Red Pill Blues (Deluxe)
Jordin Sparks; Tattoos
Hailee Steinfeld; HAIZ
Jason Derulo; Tattoos
Charli xcx; The New Classic
Kodak Black; Heartbreak on a Full Moon
Bradley Cooper; A Star Is Born Soundtrack (Without Dialogue)
Lukas Graham; Lukas Graham (Blue Album)
Ed Sheeran; reputation
Russ; There's Really A Wolf
Busy Signal; Major Lazer Essentials
Lil Uzi Vert; Harder Than Ever
Zayion McCall; This Is A Challenge
The Vamps; Brighter Days
Wizkid; So Good
Quavo; Stoney (Deluxe)
Bryson Tiller; Grateful
Hollis; The Heist
Casino; DS2 (Deluxe)
Flo Rida; Brighter Days
Gunna; JEFFERY
R. Kelly; Heartbreak on a Full Moon
Clean Bandit; So Good
Leftside; Major Lazer Essentials
Quavo; Expectations
Asahd Khaled; Grateful
Cardi B; Taki Taki (with Selena Gomez, Ozuna & Cardi B)
Demi Lovato; Demi
Pusha T; Grateful
D-Jay The Dance King; This Is A Challenge
Sarah West; Me 4 U
Twice As Nice; Beach House 3
JAY-Z; Grateful
Quavo; Major Lazer Essentials
Biggy; Major Lazer Essentials
Imani Williams; Brighter Days
ScHoolboy Q; ALL-AMERIKKKAN BADA$$
Quavo; JEFFERY
Static Major; Scorpion
Cupid; This Is A Challenge
Marshmello; Speak Your Mind (Deluxe)
J. Cole; 2014 Forest Hills Drive
Jeremih; Beach House 3
James Blake; King's Dead (with Kendrick Lamar, Future & James Blake)
InfaRed; Plata O Plomo
The Partysquad; Major Lazer Essentials
Ty Dolla $ign; Major Lazer Essentials
Passenger; All The Little Lights
Maroon 5; Red Pill Blues (Deluxe)
Sofía Reyes; 1, 2, 3 (feat. Jason Derulo & De La Ghetto)
Taranchyla; Major Lazer Essentials
Young Thug; Grateful
Bruno Mars; 24K Magic
NF; Perception
Cheat Codes; Feels Great (feat. Fetty Wap & CVBZ)
H.E.R.; H.E.R.
Jeremih; No Hard Feelings
Justin Bieber; Major Lazer Essentials
JAY-Z; Nothing Was The Same (Deluxe)
Gucci Mane; Grateful
Sophia Somajo; Diamond Heart
Jennifer Lopez; Ain't Your Mama
Ben Bridwell; The Heist
PARTYNEXTDOOR; Major Lazer Essentials
Drake; Culture II
Justin Bieber; Grateful
Justin Bieber; Stoney (Deluxe)
Shaun Frank; Brighter Days
Lil Uzi Vert; Goodbye & Good Riddance
Hozier; Nina Cried Power - EP
Kat Dahlia; Plata O Plomo
MNEK; So Good
PARTYNEXTDOOR; ye
Big Sean; Culture II
Major Lazer; Major Lazer Essentials
The Flexican; Major Lazer Essentials
MOTi; Major Lazer Essentials
Zara Larsson; So Good
Lil Durk; Beautiful Thugger Girls
Ry SO Valid; Plata O Plomo
Quavo; Beautiful Thugger Girls
Drake; Grateful
Felix Jaehn; Me 4 U
Damian Marley; Beach House 3
Drake; Harder Than Ever
Betty Wright; Grateful
Jhené Aiko; Nothing Was The Same (Deluxe)
Nina Nesbitt; Brighter Days
MØ; Major Lazer Essentials
Julia Michaels; Red Pill Blues (Deluxe)
Migos; Grateful
Christina Aguilera; Is There Anybody Out There? - Track by Track Commentary
Wanz; The Heist
DJ Snake; Major Lazer Essentials
DJ Snake; Taki Taki (with Selena Gomez, Ozuna & Cardi B)
Diddy; DS2 (Deluxe)
The-Dream; Plata O Plomo
Future; DS2 (Deluxe)
Ty Dolla $ign; Beach House 3
Ludacris; DS2 (Deluxe)
Tarrus Riley; Major Lazer Essentials
Verse Simmonds; Heartbreak on a Full Moon
Young Thug; Harder Than Ever
Selena Gomez; Taki Taki (with Selena Gomez, Ozuna & Cardi B)
Imagine Dragons; Evolve
One Direction; Midnight Memories (Deluxe)
Nicki Minaj; Major Lazer Essentials
Paloma Faith; Brighter Days
Ab-Soul; The Heist
Ab-Soul; Sail Out
Jadakiss; Grateful
DJ RayG; No Label II
2 Chainz; Grateful
Migos; Invasion of Privacy
Zay Hilfigerrr; This Is A Challenge
Meechy Darko; ALL-AMERIKKKAN BADA$$
Ty Dolla $ign; Scorpion
YG; Beach House 3
Bruno Mars; Major Lazer Essentials
